Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA; Colorado",167244,140292.9806,2423.616136,7.190757217
"Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities PUMA, Colorado",129864,95081.47973,1445.009579,12.341103
"Adams County (West Central)--Thornton & Federal Heights Cities PUMA, Colorado",153619,89344.21543,1401.025895,12.26924404
"Adams County (West Central)--Commerce City & Brighton Cities PUMA, Colorado",181189,97474.99195,1734.912533,11.55861007
"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",121059,126176.4278,2298.514105,6.499748057
"Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA, Colorado",120535,76840.97258,888.2926785,18.19961837
"Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA, Colorado",129820,76819.79151,699.7739254,21.44790479
"Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA, Colorado",122752,170149.3884,3212.717935,8.599501434
"Denver City (Northeast) PUMA, Colorado",204787,107467.5117,1587.601962,12.97765971
"Denver City (Northwest) PUMA, Colorado",113944,112540.3532,1175.519395,17.18365162
"Denver City (South Central) PUMA, Colorado",118585,149085.4549,1898.75023,14.74384619
"Denver City (Southeast) PUMA, Colorado",179428,104228.115,1136.642949,20.11304813
"Denver City (Southwest) PUMA, Colorado",128515,70356.40805,795.1153173,15.98534023
"Jefferson County (Northeast)--Arvada City PUMA, Colorado",122380,117373.4972,2243.875184,8.349795718
"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities PUMA; Colorado",133755,84480.18325,1091.507114,18.06187432
"Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge PUMA, Colorado",146586,118336.4394,1688.567708,8.830502231
"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA; Colorado",115131,113627.398,1775.1452,12.96318976
"Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA, Colorado",132657,155536.9028,2243.951454,6.635081451
"Douglas County (South)--Castle Rock Town PUMA, Colorado",119665,183567.4235,3260.348239,3.279613922
"Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA, Colorado",141927,142857.931,2658.270153,6.107062081
"DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA, Colorado",130627,123241.5443,2371.862869,3.67902501
