,RegionName,2018 ZHVI,Mean Percent HS/Equivalent Educated,Mean Percent Bachelor's Degree Holding,Mean Percent Postgraduate Educated,Mean Income,Mean Property Tax,Mean Rent as a Percentage of Income,Mean High Temp,Mean Low Temp,Mean Annual Temp,Violent Crime per 100k,Robbery per 100k,Property Crime per 100k,Burglary per 100k
1,"New York, NY",470289.8333333333,0.194726832075521,0.18119395350335704,0.12348703611163013,97918.57935036147,4080.629833668466,16.96581799710156,97.0,5.0,53.4,332.9,107.5,1335.6,152.6
2,"Los Angeles-Long Beach-Anaheim, CA",658484.1666666666,0.16314808979071682,0.1669031647552685,0.08384560790768945,91473.68094366675,2495.099228212229,19.548604297172055,101.0,38.0,66.0,494.8,162.7,2246.9,390.5
3,"Chicago, IL",236369.0,0.1961588570636196,0.17081832415276815,0.10556266705851798,84038.02871441697,3621.713255912638,11.552303366042603,95.0,-7.0,50.5,443.0,166.8,2081.6,330.7
4,"Dallas-Fort Worth, TX",240213.66666666666,0.17876909445699218,0.15913093444232493,0.08305209753782952,83355.59754294467,2734.00333460818,13.185533495778763,106.0,18.0,68.0,351.0,103.6,2232.7,360.9
6,"Houston, TX",207693.41666666666,0.18212473829135162,0.1408159135178892,0.07735709150533915,75547.0370089079,2507.561749161726,12.354341370405024,103.0,26.0,70.3,593.1,176.7,2604.7,443.5
7,"Washington, DC",416581.9166666667,0.14163815324303775,0.19819006863029637,0.1840211721320864,123028.15109216678,2998.8149758168192,12.75898444371831,99.0,13.0,59.0,264.8,84.3,1656.8,137.9
8,"Miami-Fort Lauderdale, FL",287142.5833333333,0.20724639148619883,0.16226039652118607,0.0996018812386534,60800.12904938495,1837.9254297629573,14.352038356024325,95.0,42.0,77.5,427.7,116.3,2781.1,315.1
9,"Atlanta, GA",221886.08333333334,0.1898896800687176,0.17175961625024305,0.10107567777182949,81266.77586599579,1559.7286864338932,11.90996822438105,97.0,15.0,63.3,320.7,94.1,2575.0,393.9
10,"Boston, MA",479021.75,0.17295400693494292,0.20481146038672218,0.16563078682303947,108235.8224580636,3530.419099218169,14.05345025266781,97.0,2.0,52.1,284.4,54.4,1167.3,151.2
11,"San Francisco, CA",1103116.4166666667,0.13027755703151772,0.23483281126418187,0.1583025457956049,136294.21361291176,3939.445842989013,14.52850502605123,93.0,39.0,57.8,472.4,217.6,3283.5,400.9
12,"Detroit, MI",170089.33333333334,0.20844792164684345,0.14647631201750788,0.09028056693900417,66976.92238855507,1974.5128520818892,9.822773568524237,95.0,-3.0,50.8,535.1,82.2,1945.5,395.0
14,"Phoenix, AZ",264990.1666666667,0.1878474462174202,0.14342447779625464,0.07881005771285716,70373.74769781691,1093.2803566470345,11.07016293596485,116.0,33.0,76.0,446.2,98.2,2608.7,431.8
15,"Seattle, WA",506174.1666666667,0.15784918684505936,0.20172166165374034,0.11953107333305078,105208.39892216674,2899.7230615941576,13.514095836169098,94.0,21.0,52.9,359.0,105.5,3331.3,592.2
16,"Minneapolis-St Paul, MN",276054.6666666667,0.16673105533019522,0.2018578953492181,0.10408032090406202,93311.97267797013,2346.959903559678,10.301250162734325,97.0,-16.0,47.3,253.4,73.0,2160.5,294.2
18,"St. Louis, MO",170756.33333333334,0.20952105898775916,0.1497257180820304,0.09696124683624315,69058.90128328213,1713.4890575632653,9.866393647743699,102.0,2.0,57.8,455.1,93.3,2438.5,408.6
19,"Tampa, FL",214081.5,0.2412407170815879,0.15080002341407797,0.07932791416195414,57071.59051593516,1297.513119428239,11.967870139369978,96.0,32.0,74.0,306.4,55.0,1855.0,256.6
20,"Baltimore, MD",289048.1666666667,0.20475683603432374,0.16740703049440941,0.12776710434995708,86937.93750022721,2237.666570480478,11.531652457649956,98.0,7.0,56.1,720.8,258.4,3470.6,399.8
21,"Denver, CO",422548.9166666667,0.16642365022928415,0.20563926248829384,0.11781327072214146,115959.09771598602,1795.0453637492503,11.831117588281494,101.0,-12.0,51.3,413.9,93.1,2954.0,525.7
22,"Pittsburgh, PA",150885.16666666666,0.27294742548880785,0.16180204924781022,0.10088018387870827,64496.58898362412,1890.4013868793759,8.777013293781724,92.0,-1.0,52.0,274.6,58.8,1413.1,196.1
23,"Portland, OR",399204.75,0.16660448196701114,0.18335876209205398,0.10599142884367455,88700.33580502238,2503.4166862670113,12.90920469441756,101.0,21.0,54.7,299.1,70.7,2870.0,364.6
24,"Charlotte, NC",216364.41666666666,0.1893963810573116,0.1680720569217047,0.08026288178441504,72225.19709436798,1286.1624337425908,10.350378040042028,98.0,13.0,61.3,426.9,101.3,2739.7,502.3
28,"Cincinnati, OH",172842.33333333334,0.24440091979751846,0.14003818696638246,0.08448304739085286,68906.17935600886,1678.02087655241,10.34207916053319,95.0,-2.0,54.7,225.2,67.4,2060.7,337.0
30,"Kansas City, MO",191178.5,0.20316007589664006,0.16924786661339236,0.09308678506696932,74612.03359660627,1647.5511217693077,10.761051895885249,101.0,-5.0,55.3,1431.0,290.9,3856.0,430.4
31,"Las Vegas, NV",275337.4166666667,0.2284033950051683,0.11495219025148004,0.0587458840513346,63378.98991272924,969.6514120569361,15.21192597112233,114.0,28.0,70.4,607.9,151.4,2670.8,657.6
33,"Indianapolis, IN",167026.33333333334,0.21410150623733615,0.16364182310865905,0.08155408539413617,69329.88806698189,1116.3171086687933,11.192507501400435,95.0,-3.0,53.9,641.5,166.8,2643.8,496.7
36,"Virginia Beach, VA",232656.0,0.20069184645518653,0.14411948504937563,0.08814445293393033,71092.60635483477,1429.1955520793879,13.57402583950002,99.0,17.0,61.2,306.8,73.0,2405.0,274.4
37,"Nashville, TN",261257.33333333334,0.2216184764509446,0.1642208299837244,0.08246805448451025,73598.2321672317,1148.4171293543031,10.494462378735749,99.0,9.0,60.5,599.1,128.8,2558.6,342.4
38,"Providence, RI",304953.75,0.23516454415193197,0.154133820100916,0.1032521055692958,66785.27026126425,2534.941869713522,11.579326992917153,96.0,2.0,52.2,284.1,49.9,1533.1,259.4
39,"Milwaukee, WI",187327.58333333334,0.2150209209270205,0.16567965084394615,0.09383759368716106,72986.54450139042,2377.784401377467,13.393543450916987,94.0,-6.0,40.9,609.7,165.0,2080.0,355.2
42,"Oklahoma City, OK",149318.66666666666,0.21661192235221588,0.1311407027550442,0.07607316208467982,64184.75946904485,1130.1807869771715,11.444776458779929,104.0,7.0,61.4,529.5,24.8,1793.3,280.8
43,"Louisville-Jefferson County, KY",169240.41666666666,0.2284033950051683,0.11495219025148004,0.0587458840513346,63378.98991272924,969.6514120569361,15.21192597112233,97.0,4.0,58.2,417.7,123.1,3094.7,588.9
46,"New Orleans, LA",200205.41666666666,0.23325580002259969,0.13716248504131254,0.07743835114761553,53034.85955507476,813.5747019744936,11.68603465155825,98.0,27.0,70.4,563.8,134.3,2948.1,372.9
49,"Birmingham, AL",153509.41666666666,0.21053909783787012,0.15013381722320204,0.08181211924764659,58114.24370579886,670.0205479474728,8.809099410803848,99.0,14.0,63.9,682.0,157.7,3344.9,817.6
50,"Salt Lake City, UT",346910.5,0.18545651273547495,0.1431769124351443,0.08137973582491882,87125.3516260619,1448.8544208674039,10.309013113024974,103.0,3.0,53.9,368.9,78.3,2241.7,419.2
54,"Urban Honolulu, HI",705956.3333333334,0.22041430992587754,0.1653380434116758,0.08442100749392523,83883.38142552541,1182.3871239160876,15.303356390556523,91.0,59.0,78.0,249.6,81.9,2941.5,381.4
59,"Albuquerque, NM",194363.33333333334,0.19679886909081612,0.1340898659379178,0.09897789192571296,59840.37426363265,1250.2880299445012,12.257202397367966,100.0,11.0,58.4,1084.7,238.2,4256.6,869.9
61,"Omaha, NE",181783.0,0.18749359560576387,0.16161597608768366,0.08561877565382824,73750.73589800527,2225.7561745128496,10.84755693747377,101.0,-10.0,52.1,384.5,79.5,2764.9,358.1
72,"Columbia, SC",151676.66666666666,0.22610492058608622,0.1359398434795985,0.07936944775602815,53429.877560594,748.5294967910006,10.858180400849097,102.0,16.0,64.9,567.9,86.9,3506.0,578.0
76,"Little Rock, AR",144642.75,0.24108673299283037,0.12874373464304628,0.07437290395967758,74822.33198978635,851.2120446000837,10.566341760276524,102.0,13.0,63.2,738.1,89.1,4088.2,797.4
85,"Boise City, ID",267497.5,0.21294432778800448,0.14699768610593167,0.06412169153453068,74121.33568377381,1454.851822224736,9.454240407499768,106.0,5.0,53.4,244.0,3.6,1135.7,141.8
91,"Des Moines, IA",196757.58333333334,0.2108955094580431,0.1708182491486358,0.07395368529967652,72723.95347956596,2262.4452812185023,8.874926896155607,98.0,-11.0,51.8,367.5,54.0,2349.8,525.3
92,"Jackson, MS",136783.66666666666,0.20166280455009272,0.13687726511880405,0.08274563815402557,60001.612076708116,815.3920433638905,6.612536773002992,100.0,17.0,65.5,489.5,38.4,2188.4,319.4
103,"Portland, ME",299640.75,0.20793708783322834,0.19087259130577416,0.11613736593512695,63460.399862628175,2326.355649491081,8.168194877881895,93.0,-9.0,47.1,114.5,20.9,1326.9,182.4
131,"Manchester, NH",290784.4166666667,0.2173913043478261,0.18571711359543672,0.10219495742117006,91210.83903559906,3984.8428669048644,11.191498532370183,96.0,-4.0,49.8,229.7,42.3,1363.4,142.3
133,"Anchorage, AK",295785.0833333333,0.21158445359338654,0.13369079730482358,0.084207882408186,71085.57598415854,1966.408983591663,9.980858883791896,78.0,-12.0,38.0,1263.6,235.1,5016.8,703.4
193,"Sioux Falls, SD",209563.5,0.20395340650498497,0.16121965325186388,0.07217214196809112,64040.74335966767,1664.137275916231,11.28808697562003,97.0,-19.0,46.7,343.7,41.1,2344.3,350.8
194,"Charleston, WV",99269.58333333333,0.32036899103374317,0.10828105363116766,0.06143024979075322,41627.16342398562,512.1145026539957,6.465666954026565,95.0,3.0,56.1,449.9,43.2,2669.3,582.2
201,"Burlington, VT",291644.9166666667,0.19852834368304464,0.2162272578712278,0.12821839706576607,70174.3542,3058.93075,11.952143300000001,95.0,-14.0,47.0,174.2,11.8,1548.0,223.7
206,"Fargo, ND",225764.41666666666,0.1952019064150989,0.16521457754337365,0.061296205012202384,67750.40506590644,1375.7556316811852,10.828653208404162,96.0,-25.0,42.8,280.9,31.9,2441.9,421.3
254,"Billings, MT",248372.25,0.24248368027992076,0.13335157339827824,0.04452759516304306,50581.39423711697,1121.6835836548635,8.016791152128574,102.0,-15.0,48.5,428.1,64.0,3508.7,462.3
405,"Cheyenne, WY",260689.25,0.21327874662751084,0.14641485414210387,0.08059977866344548,58683.686010000005,850.7092,11.05981205,96.0,-14.0,47.0,295.4,35.9,2843.3,386.7
